"id","name","code","country_id/id"
"country_state_CHH","彰化縣","CHH","base.tw"
"country_state_CIC","嘉義市","CIC","base.tw"
"country_state_CIH","嘉義縣","CIH","base.tw"
"country_state_HCH","新竹縣","HCH","base.tw"
"country_state_HCT","新竹市","HCT","base.tw"
"country_state_HLH","花蓮縣","HLH","base.tw"
"country_state_ILH","宜蘭縣","ILH","base.tw"
"country_state_KHC","高雄市","KHC","base.tw"
"country_state_KLC","基隆市","KLC","base.tw"
"country_state_KMC","金門縣","KMC","base.tw"
"country_state_LCC","連江縣","LCC","base.tw"
"country_state_MLH","苗栗縣","MLH","base.tw"
"country_state_NTC","南投縣","NTC","base.tw"
"country_state_NTPC","新北市","NTPC","base.tw"
"country_state_PHC","澎湖縣","PHC","base.tw"
"country_state_PTH","屏東縣","PTH","base.tw"
"country_state_TCC","台中市","TCC","base.tw"
"country_state_TNH","台南市","TNH","base.tw"
"country_state_TPC","台北市","TPC","base.tw"
"country_state_TTH","台東縣","TTH","base.tw"
"country_state_TYC","桃園市","TYC","base.tw"
"country_state_YLH","雲林縣","YLH","base.tw"
